Sample ID,Analyte Name,Reported Conc (Samp)
Blk OF,Al 308.215,0.213
Blk OF,As 193.696,0.009
Blk OF,Cd 214.440,0.017
Blk OF,Ca 317.933,0
Blk OF,Cr 267.716,0.004
Blk OF,Cu 324.752,0.026
Blk OF,Fe 259.939,0.03
Blk OF,K 766.490,0
Blk OF,Mg 279.077,0.291
Blk OF,Mn 257.610,0.03
Blk OF,Na 589.592,0
Blk OF,Ni 231.604,0.061
Blk OF,Pb 220.353,0.079
Blk OF,Pb 283.306,0
Blk OF,Sb 206.836,0.339
Blk OF,Se 196.026,0
Blk OF,Si 251.611,0.006
Blk OF,S 180.669,0
Blk OF,Sn 189.927,0
Blk OF,Zn 213.857,0.004
Blk OF,P 213.617,0
MS2,Al 308.215,0.372
MS2,As 193.696,1.326
MS2,Cd 214.440,0
MS2,Ca 317.933,0.076
MS2,Cr 267.716,0.043
MS2,Cu 324.752,0.027
MS2,Fe 259.939,0.109
MS2,K 766.490,0
MS2,Mg 279.077,0.324
MS2,Mn 257.610,0.04
MS2,Na 589.592,0
MS2,Ni 231.604,0.099
MS2,Pb 220.353,0
MS2,Pb 283.306,0
MS2,Sb 206.836,1.297
MS2,Se 196.026,1.01
MS2,Si 251.611,1.231
MS2,S 180.669,0.042
MS2,Sn 189.927,1.089
MS2,Zn 213.857,0.017
MS2,P 213.617,0.738
MS1,Al 308.215,1.286
MS1,As 193.696,-0.132
MS1,Cd 214.440,1.456
MS1,Ca 317.933,1.259
MS1,Cr 267.716,1.157
MS1,Cu 324.752,1.48
MS1,Fe 259.939,1.239
MS1,K 766.490,0.986
MS1,Mg 279.077,1.42
MS1,Mn 257.610,1.181
MS1,Na 589.592,1.148
MS1,Ni 231.604,1.302
MS1,Pb 220.353,1.172
MS1,Pb 283.306,1.227
MS1,Sb 206.836,0.41
MS1,Se 196.026,-0.071
MS1,Si 251.611,0.016
MS1,S 180.669,-1.529
MS1,Sn 189.927,-0.684
MS1,Zn 213.857,1.634
MS1,P 213.617,-3.462
150698 -u,Al 308.215,0.595
150698 -u,As 193.696,-0.081
150698 -u,Cd 214.440,0.008
150698 -u,Ca 317.933,5.955
150698 -u,Cr 267.716,0.007
150698 -u,Cu 324.752,0.085
150698 -u,Fe 259.939,0.675
150698 -u,K 766.490,0.085
150698 -u,Mg 279.077,0.814
150698 -u,Mn 257.610,0.047
150698 -u,Ni 231.604,0.046
150698 -u,Pb 220.353,-0.422
150698 -u,Pb 283.306,0.137
150698 -u,Sb 206.836,0.49
150698 -u,Se 196.026,-0.29
150698 -u,Si 251.611,0.374
150698 -u,S 180.669,-0.897
150698 -u,Sn 189.927,0.234
150698 -u,Zn 213.857,0.171
150698 -u,P 213.617,-0.419
150353,Al 308.215,-0.351
150353,As 193.696,-0.667
150353,Cd 214.440,0.019
150353,Ca 317.933,53.88
150353,Cr 267.716,0.142
150353,Cu 324.752,1.484
150353,Fe 259.939,2.449
150353,K 766.490,450.1
150353,Mg 279.077,207.5
150353,Mn 257.610,2.366
150353,Ni 231.604,0.845
150353,Pb 220.353,-0.496
150353,Pb 283.306,-0.218
150353,Sb 206.836,0.126
150353,Se 196.026,0.461
150353,Si 251.611,0.303
150353,S 180.669,74.58
150353,Sn 189.927,0.203
150353,Zn 213.857,3.304
150353,P 213.617,261.4
150354,Al 308.215,-0.426
150354,As 193.696,-0.504
150354,Cd 214.440,-0.023
150354,Ca 317.933,47.56
150354,Cr 267.716,0.109
150354,Cu 324.752,2.145
150354,Fe 259.939,2.226
150354,K 766.490,401.6
150354,Mg 279.077,193.6
150354,Mn 257.610,2.423
150354,Ni 231.604,0.524
150354,Pb 220.353,-0.014
150354,Pb 283.306,-0.376
150354,Sb 206.836,0.378
150354,Se 196.026,0.55
150354,Si 251.611,0.247
150354,S 180.669,72.82
150354,Sn 189.927,0.026
150354,Zn 213.857,3.398
150354,P 213.617,234.9
150355,Al 308.215,-0.257
150355,As 193.696,-0.514
150355,Cd 214.440,-0.028
150355,Ca 317.933,41.9
150355,Cr 267.716,0.071
150355,Cu 324.752,1.909
150355,Fe 259.939,1.939
150355,K 766.490,292.5
150355,Mg 279.077,148.1
150355,Mn 257.610,1.376
150355,Ni 231.604,0.449
150355,Pb 220.353,-0.215
150355,Pb 283.306,-0.365
150355,Sb 206.836,0.304
150355,Se 196.026,0.382
150355,Si 251.611,0.207
150355,S 180.669,74.17
150355,Sn 189.927,1.303
150355,Zn 213.857,3.173
150355,P 213.617,201
150356,As 193.696,-0.57
150356,Cd 214.440,0.014
150356,Cu 324.752,2.414
150356,Pb 220.353,-0.425
150356,Pb 283.306,-0.726
150356,Sb 206.836,0.424
150356,Si 251.611,0.273
150356,Sn 189.927,0.171
150356,Zn 213.857,3.523
150356,P 213.617,232.9
150357,As 193.696,-0.386
150357,Cd 214.440,-0.029
150357,Cu 324.752,1.667
150357,Pb 220.353,-0.134
150357,Pb 283.306,-0.284
150357,Sb 206.836,0.158
150357,Si 251.611,0.456
150357,Sn 189.927,0.126
150357,Zn 213.857,2.939
150357,P 213.617,226.9
150650,As 193.696,-0.251
150650,Cd 214.440,0.029
150650,Cu 324.752,0.086
150650,Pb 220.353,0.324
150650,Pb 283.306,-0.645
150650,Sb 206.836,0.304
150650,Si 251.611,1.491
150650,Sn 189.927,0.107
150650,Zn 213.857,0.004
150650,P 213.617,19.95
150093 Cd,Cd 214.440,0.014
151194,As 193.696,-0.388
151194,Cd 214.440,0.014
151194,Cu 324.752,0.575
151194,Pb 220.353,-0.15
151194,Pb 283.306,0.127
151194,Sb 206.836,0.446
151194,Sn 189.927,0.506
151194,Zn 213.857,2.094
151264,As 193.696,-0.487
151264,Cd 214.440,0.004
151264,Cu 324.752,0.075
151264,Pb 220.353,-0.216
151264,Pb 283.306,-0.057
151264,Sb 206.836,0.297
151264,Sn 189.927,0.277
151264,Zn 213.857,0.094
151310,As 193.696,-0.73
151310,Cd 214.440,0.023
151310,Cu 324.752,0.442
151310,Pb 220.353,-0.807
151310,Pb 283.306,0.018
151310,Sb 206.836,0.586
151310,Sn 189.927,0.577
151310,Zn 213.857,1.202
151810 Pb,Pb 220.353,-0.219
151810 Pb,Pb 283.306,-0.357
151810 Pb,Pb 220.353,-0.122
151810 chk,Pb 220.353,-0.281
151810 chk,Pb 283.306,0.224
151811 Pb,Pb 220.353,-0.748
151811 Pb,Pb 283.306,-0.555
151811 chk,Pb 220.353,-0.346
151811 chk,Pb 283.306,-0.625
